Name,release year,volume(mm^3),weight(g),screen size(in),total resolution,OSType,number of cores,core clock rate(gHz),ram,primary camera(MP),battery(mAh)
LG Optimus L9 P769,2012.0,80013.02399999999,119.1,4.5,518400.0,2.0,2.0,1.0,1.0,5.0,2150.0,
LG Optimus Vu II,2013.0,106373.40799999998,159.0,5.0,786432.0,2.0,2.0,1.5,2.0,8.0,2150.0,
LG Optimus G E970,2012.0,78668.35200000001,147.1,4.7,983040.0,2.0,4.0,1.5,2.0,8.0,2100.0,
LG Optimus G E975,2012.0,77247.23500000002,145.0,4.7,983040.0,2.0,4.0,1.5,2.0,13.0,2100.0,
LG Intuition VS950,2012.0,106082.592,168.1,5.0,786432.0,2.0,2.0,1.5,1.0,8.0,2080.0,
LG Splendor US730,2012.0,75375.0,120.0,4.3,384000.0,2.0,1.0,1.0,0.768,5.0,1700.0,
LG Optimus L5 Dual E615,2012.0,74736.025,120.0,4.0,153600.0,2.0,1.0,0.8,0.512,5.0,1540.0,
LG Optimus L9 P760,2012.0,81859.77799999999,125.0,4.7,518400.0,2.0,2.0,1.0,1.0,5.0,2150.0,
LG Motion 4G MS770,2012.0,79220.7,132.0,3.5,153600.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus Vu P895,2012.0,107268.64,168.0,5.0,786432.0,2.0,4.0,1.5,1.0,8.0,2100.0,
LG Optimus L3 E405,2012.0,75209.904,119.0,3.2,76800.0,2.0,1.0,0.8,0.384,3.0,1540.0,
LG Optimus Elite LS696,2012.0,73710.0,120.0,3.5,153600.0,2.0,1.0,0.8,4.0,5.0,1520.0,
LG Optimus LTE2,2012.0,83318.685,145.0,4.7,921600.0,2.0,2.0,1.5,2.0,8.0,2150.0,
LG Optimus True HD LTE P936,2012.0,93848.66400000002,135.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Lucid 4G VS840,2012.0,84451.42800000001,142.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus M+ MS695,2012.0,70639.07400000001,119.0,3.5,153600.0,2.0,1.0,0.8,0.512,5.0,1300.0,
LG Optimus 4X HD P880,2012.0,80246.316,133.0,4.7,921600.0,2.0,4.0,1.5,1.0,8.0,2150.0,
LG Optimus 3D Max P720,2012.0,82044.67199999999,148.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1520.0,
LG Optimus 3D Cube SU870,2012.0,82044.67199999999,148.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1520.0,
LG Optimus L7 P700,2012.0,73153.95,122.0,4.3,384000.0,2.0,1.0,1.0,0.512,5.0,1700.0,
LG Optimus Vu F100S,2012.0,107268.64,168.0,5.0,786432.0,2.0,2.0,1.5,1.0,8.0,2080.0,
LG Optimus LTE Tag,2012.0,81598.825,141.7,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus L3 E400,2012.0,75209.904,110.0,3.2,76800.0,2.0,1.0,0.8,0.384,3.0,1500.0,
LG Connect 4G MS840,2012.0,84871.79999999999,137.0,4.0,403200.0,2.0,2.0,1.2,1.0,5.0,1540.0,
LG Viper 4G LTE LS840,2012.0,84871.79999999999,142.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Spectrum VS920,2012.0,96881.40800000001,141.5,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Prada 3.0,2011.0,74778.75,138.0,4.3,384000.0,2.0,2.0,1.0,1.0,8.0,1540.0,
LG Nitro HD,2011.0,94415.568,127.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Optimus 4G LTE P935,2011.0,95464.00500000002,135.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG DoublePlay,2011.0,124825.6,192.0,3.5,153600.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG Optimus LTE LU6200,2011.0,93848.66400000002,139.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Optimus EX SU880,2011.0,72567.64,127.0,4.0,384000.0,2.0,2.0,1.0,1.0,5.0,1500.0,
LG Optimus Q2 LU6500,2011.0,98338.5,147.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1500.0,
LG Optimus Hub E510,2011.0,82047.168,123.0,3.5,153600.0,2.0,1.0,0.8,0.512,5.0,1500.0,
LG Optimus Sol E730,2011.0,75031.25,110.0,3.8,384000.0,2.0,1.0,1.0,2.0,5.0,1500.0,
LG Optimus Net Dual,2011.0,81384.59999999999,102.0,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1500.0,
LG Optimus Net,2011.0,81027.65,129.2,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1500.0,
LG Esteem MS910,2011.0,111488.0,172.0,4.3,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG Marquee LS855,2011.0,70272.0,112.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG Optimus Black (White version),2011.0,71833.59999999999,109.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG Optimus Pro C660,2011.0,92030.535,129.0,2.8,76800.0,2.0,1.0,0.8,0.256,3.0,1500.0,
LG Thrill 4G P925,2011.0,104224.96000000002,168.0,4.3,384000.0,2.0,2.0,1.0,0.512,5.0,1500.0,
LG Optimus 3D P920,2011.0,104224.96000000002,168.0,4.3,384000.0,2.0,2.0,1.0,0.512,5.0,1500.0,
LG Optimus Black P970,2011.0,71833.59999999999,109.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG Optimus 2X SU660,2010.0,85352.232,139.0,4.0,384000.0,2.0,2.0,1.0,0.512,8.0,1500.0,
LG Optimus 2X,2010.0,85352.232,139.0,4.0,384000.0,2.0,2.0,1.0,0.512,8.0,1500.0,
LG Axis,2011.0,103191.696,158.0,3.2,384000.0,2.0,1.0,0.6,0.256,3.0,1500.0,
LG Optimus One P500,2010.0,89063.45000000001,129.0,3.2,153600.0,2.0,1.0,0.6,0.512,3.0,1500.0,
LG Optimus Q LU2300,2010.0,96833.87999999999,157.0,3.5,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG GT540 Optimus,2010.0,75444.34999999999,115.5,3.0,153600.0,2.0,1.0,0.6,0.156,3.0,1500.0,
HTC Desire 626,2014.0,85404.722,140.0,5.0,921600.0,2.0,8.0,1.7,1.0,13.0,2000.0,
HTC Desire 526G+ dual sim,2015.0,96604.596,154.0,4.7,518400.0,2.0,8.0,1.7,1.0,8.0,2000.0,
HTC Desire 826,2015.0,97960.0,183.0,5.5,2073600.0,2.0,4.0,1.7,2.0,13.0,2600.0,
HTC Desire 320,2015.0,93970.8,145.0,4.5,409920.0,2.0,4.0,1.3,0.512,5.0,2100.0,
HTC Desire 620G dual sim,2014.0,104757.792,160.0,5.0,921600.0,2.0,8.0,1.7,1.0,8.0,2100.0,
HTC Desire 620 dual sim,2014.0,104757.792,160.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2100.0,
HTC Nexus 9,2014.0,280594.72,425.0,8.9,3145728.0,2.0,2.0,2.3,2.0,8.0,6700.0,
HTC Desire 816G dual sim,2014.0,98595.36,158.0,5.5,921600.0,2.0,8.0,1.7,1.0,13.0,2600.0,
HTC One (M8 Eye),2014.0,97156.89600000001,160.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,2600.0,
HTC Desire Eye,2014.0,95161.40999999999,154.0,5.2,2073600.0,2.0,4.0,2.3,2.0,13.0,2400.0,
HTC Desire 612,2014.0,95161.08800000002,146.0,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,2040.0,
HTC Desire 820q dual sim,2014.0,95564.623,155.0,5.5,921600.0,2.0,4.0,1.2,1.0,13.0,2600.0,
HTC Desire 820 dual sim,2014.0,95564.623,155.0,5.5,921600.0,2.0,4.0,1.7,2.0,13.0,2600.0,
HTC Desire 820,2014.0,95564.623,155.0,5.5,921600.0,2.0,4.0,1.5,2.0,13.0,2600.0,
HTC One (E8) CDMA,2014.0,102469.75200000002,164.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,2600.0,
HTC Desire 510,2014.0,97650.20000000001,158.0,4.7,409920.0,2.0,4.0,1.2,1.0,5.0,2100.0,
HTC Butterfly 2,2014.0,102070.8,151.0,5.0,2073600.0,2.0,4.0,2.5,2.0,13.0,2700.0,
HTC One (M8) dual sim,2014.0,97156.89600000001,160.0,5.0,2073600.0,2.0,4.0,2.3,2.0,4.0,2600.0,
HTC Desire 516 dual sim,2014.0,97776.0,160.0,5.0,518400.0,2.0,4.0,1.2,1.0,5.0,1950.0,
HTC One (E8),2014.0,102469.75200000002,145.0,5.0,2073600.0,2.0,4.0,2.5,2.0,13.0,2600.0,
HTC One mini 2,2014.0,94668.59999999999,137.0,4.5,921600.0,2.0,4.0,1.2,1.0,13.0,2110.0,
HTC Desire 616 dual sim,2014.0,93930.16,150.0,5.0,921600.0,2.0,8.0,1.4,1.0,8.0,2000.0,
HTC Desire 210 dual sim,2014.0,85790.25,130.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1300.0,
HTC One (M8) CDMA,2014.0,97156.89600000001,160.0,5.0,2073600.0,2.0,4.0,2.3,2.0,4.0,2600.0,
HTC One (M8),2014.0,97156.89600000001,160.0,5.0,2073600.0,2.0,4.0,2.3,2.0,4.0,2600.0,
HTC Desire 310 dual sim,2014.0,100967.76000000001,140.0,4.5,409920.0,2.0,4.0,1.3,0.512,5.0,2000.0,
HTC Desire 310,2014.0,101736.16000000002,140.0,4.5,409920.0,2.0,4.0,1.3,0.512,5.0,2000.0,
HTC Desire 816 dual sim,2014.0,97362.918,165.0,5.5,921600.0,2.0,4.0,1.6,1.0,13.0,2600.0,
HTC Desire 816,2014.0,97362.918,165.0,5.5,921600.0,2.0,4.0,1.6,1.0,13.0,2600.0,
HTC Desire 610,2014.0,96850.07999999999,143.5,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,2040.0,
HTC Desire 501 dual sim,2013.0,83995.31000000001,130.0,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,2100.0,
HTC Desire 700,2014.0,107902.8,149.0,5.0,518400.0,2.0,4.0,1.2,1.0,8.0,2100.0,
HTC Desire 700 dual sim,2013.0,107902.8,149.0,5.0,518400.0,2.0,4.0,1.2,1.0,8.0,2100.0,
HTC Desire 601 dual sim,2013.0,88814.385,130.0,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,2100.0,
HTC Desire 501,2013.0,83995.31000000001,130.0,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,2100.0,
HTC One Max,2013.0,139783.875,217.0,5.9,2073600.0,2.0,4.0,1.7,2.0,4.0,3300.0,
HTC Desire 601,2013.0,88814.385,130.0,4.5,518400.0,2.0,2.0,1.4,1.0,5.0,2100.0,
HTC Desire 500,2013.0,87292.45800000003,123.0,4.3,384000.0,2.0,4.0,1.2,1.0,8.0,1800.0,
HTC One mini,2013.0,77584.32,122.0,4.3,921600.0,2.0,2.0,1.4,1.0,4.0,1800.0,
HTC Desire L,2013.0,76212.48000000001,118.0,4.3,384000.0,2.0,2.0,1.0,1.0,5.0,1800.0,
HTC Desire P,2013.0,94230.94099999999,136.0,4.3,384000.0,2.0,2.0,1.0,0.768,8.0,1620.0,
HTC Desire Q,2013.0,68657.715,114.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1650.0,
HTC Butterfly S,2013.0,107984.84999999999,160.0,5.0,2073600.0,2.0,4.0,1.9,2.0,4.0,3200.0,
HTC Desire 200,2013.0,77923.104,100.0,3.5,153600.0,2.0,1.0,1.0,0.512,5.0,1230.0,
HTC Desire 600 dual sim,2013.0,83993.88,130.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,1860.0,
HTC First,2013.0,72891.0,123.9,4.3,921600.0,2.0,2.0,1.4,1.0,5.0,2000.0,
HTC One Dual Sim,2013.0,99315.21600000001,156.0,4.68,2073600.0,2.0,4.0,1.7,2.0,4.0,2300.0,
HTC One,2013.0,87147.32400000001,143.0,4.7,2073600.0,2.0,4.0,1.7,2.0,4.0,2300.0,
HTC Desire U,2013.0,68657.715,114.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1650.0,
HTC Desire 400 dual sim,2012.0,76212.48000000001,119.0,4.3,384000.0,2.0,2.0,1.0,1.0,5.0,1800.0,
HTC Butterfly,2012.0,91741.65,140.0,5.0,2073600.0,2.0,4.0,1.5,2.0,8.0,2020.0,
HTC DROID DNA,2012.0,96422.84999999999,141.7,5.0,2073600.0,2.0,4.0,1.5,2.0,8.0,2020.0,
HTC One SV CDMA,2012.0,78781.44,122.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1800.0,
HTC One SV,2012.0,78781.44,122.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1800.0,
HTC One VX,2012.0,83026.31999999998,124.7,4.5,518400.0,2.0,2.0,1.2,1.0,5.0,1800.0,
HTC One X+,2012.0,83611.58400000002,135.0,4.7,921600.0,2.0,4.0,1.7,1.0,8.0,2100.0,
HTC One ST,2012.0,79637.76000000001,115.0,4.3,384000.0,2.0,2.0,1.0,1.0,5.0,1800.0,
HTC One SC,2012.0,76212.48000000001,116.0,4.3,384000.0,2.0,2.0,1.0,1.0,5.0,1800.0,
HTC Desire X,2012.0,68657.715,114.0,4.0,384000.0,2.0,2.0,1.0,0.768,5.0,1650.0,
HTC Desire VT,2012.0,71355.84,118.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1650.0,
HTC Desire XC,2013.0,69981.59,107.0,4.0,384000.0,2.0,2.0,1.0,0.768,5.0,1650.0,
HTC Desire VC,2012.0,70726.075,119.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1650.0,
HTC Desire V,2012.0,68657.715,114.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1650.0,
HTC Desire C,2012.0,79904.73600000002,100.0,3.5,153600.0,2.0,1.0,0.6,0.512,5.0,1230.0,
HTC J,2012.0,82450.5,137.0,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,1810.0,
HTC DROID Incredible 4G LTE,2012.0,87000.03,132.0,4.0,518400.0,2.0,2.0,1.2,1.0,8.0,1700.0,
HTC Evo 4G LTE,2012.0,82660.70800000001,134.0,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,2000.0,
HTC One XC,2012.0,88361.40000000001,138.5,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,2000.0,
HTC One X,2012.0,83611.58400000002,130.0,4.7,921600.0,2.0,4.0,1.5,1.0,8.0,1800.0,
HTC One X AT&T,2012.0,83860.42800000003,129.0,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,1800.0,
HTC One S C2,2012.0,66366.3,119.5,4.3,518400.0,2.0,2.0,1.7,1.0,8.0,1650.0,
HTC One S,2012.0,66366.3,119.5,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,1650.0,
HTC Velocity 4G Vodafone,2012.0,97514.48000000001,163.8,4.5,518400.0,2.0,2.0,1.5,1.0,8.0,1620.0,
HTC One V,2012.0,66073.572,115.0,3.7,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
HTC Velocity 4G,2012.0,97514.48000000001,163.8,4.5,518400.0,2.0,2.0,1.5,1.0,8.0,1620.0,
HTC Rezound,2011.0,115758.15,170.1,4.3,921600.0,2.0,2.0,1.5,1.0,8.0,1620.0,
HTC Vivid,2011.0,96795.77599999998,176.9,4.5,518400.0,2.0,2.0,1.2,1.0,8.0,1620.0,
HTC EVO Design 4G,2011.0,88487.21,147.4,4.0,518400.0,2.0,1.0,1.2,0.768,5.0,1520.0,
HTC Sensation XL,2011.0,92740.725,162.5,4.7,384000.0,2.0,1.0,1.5,0.768,8.0,1600.0,
HTC Explorer,2011.0,75854.064,108.0,3.2,153600.0,2.0,1.0,0.6,0.512,3.0,1230.0,
HTC Amaze 4G,2011.0,100630.40000000001,172.9,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,1730.0,
HTC Raider 4G,2011.0,96051.2,177.0,4.5,518400.0,2.0,2.0,1.2,1.0,8.0,1620.0,
HTC Rhyme,2011.0,78863.68000000001,130.0,3.7,384000.0,2.0,1.0,1.0,0.768,5.0,1600.0,
HTC Hero S,2011.0,82800.0,130.0,4.0,518400.0,2.0,1.0,1.2,0.768,5.0,1520.0,
HTC Rhyme CDMA,2011.0,78863.68000000001,130.0,3.7,384000.0,2.0,1.0,1.0,0.768,5.0,1600.0,
HTC Sensation XE,2011.0,93190.422,151.0,4.3,518400.0,2.0,2.0,1.5,0.768,8.0,1730.0,
HTC Jetstream,2011.0,580814.0,709.0,10.1,1024000.0,2.0,2.0,1.5,1.0,8.0,7300.0,
HTC Panache,2011.0,84776.25,150.0,3.8,384000.0,2.0,1.0,1.0,0.768,5.0,1400.0,
HTC Status,2011.0,79075.568,120.0,2.6,153600.0,2.0,1.0,0.8,0.512,5.0,1250.0,
HTC DROID Incredible 2,2011.0,94242.56,135.0,4.0,384000.0,2.0,1.0,1.0,0.768,8.0,1450.0,
HTC Sensation 4G,2011.0,93190.422,148.0,4.3,518400.0,2.0,2.0,1.2,0.768,8.0,1520.0,
HTC EVO 3D,2011.0,99099.0,170.0,4.3,518400.0,2.0,2.0,1.2,1.0,5.0,1730.0,
HTC Sensation,2011.0,93190.422,148.0,4.3,518400.0,2.0,2.0,1.2,0.768,8.0,1520.0,
HTC EVO 3D CDMA,2011.0,99745.8,170.1,4.3,518400.0,2.0,2.0,1.2,1.0,5.0,1730.0,
HTC Merge,2011.0,103104.354,198.0,3.8,384000.0,2.0,1.0,0.8,0.512,5.0,1400.0,
HTC Incredible S,2011.0,89856.0,135.5,4.0,384000.0,2.0,1.0,1.0,0.768,8.0,1450.0,
HTC Desire S,2011.0,79773.2,130.0,3.7,384000.0,2.0,1.0,1.0,0.768,5.0,1450.0,
HTC Wildfire S,2011.0,74613.52799999999,105.0,3.2,153600.0,2.0,1.0,0.6,0.512,5.0,1230.0,
HTC Salsa,2011.0,79039.677,120.0,3.4,153600.0,2.0,1.0,0.8,0.512,5.0,1520.0,
HTC ChaCha,2011.0,79075.568,120.0,2.6,153600.0,2.0,1.0,0.8,0.512,5.0,1250.0,
HTC Flyer,2011.0,314672.16,420.8,7.0,614400.0,2.0,1.0,1.5,1.0,5.0,4000.0,
HTC EVO View 4G,2011.0,285376.0,425.0,7.0,614400.0,2.0,1.0,1.5,1.0,5.0,4000.0,
HTC Inspire 4G,2011.0,97923.033,163.9,4.3,384000.0,2.0,1.0,1.0,0.768,8.0,1230.0,
HTC ThunderBolt 4G,2011.0,104676.0,164.0,4.3,384000.0,2.0,1.0,1.0,0.768,8.0,1400.0,
HTC Gratia,2010.0,70074.342,115.0,3.2,153600.0,2.0,1.0,0.6,0.384,5.0,1200.0,
HTC Evo 4G+,2011.0,99099.0,160.0,4.3,518400.0,2.0,2.0,1.2,1.0,8.0,1730.0,
HTC Aria,2010.0,70074.342,115.0,3.2,153600.0,2.0,1.0,0.6,0.384,5.0,1200.0,
HTC Wildfire CDMA,2010.0,85570.8,115.0,3.2,76800.0,2.0,1.0,0.528,0.384,5.0,1300.0,
HTC Legend,2010.0,72514.4,126.0,3.2,153600.0,2.0,1.0,0.6,0.512,5.0,1300.0,
HTC Google Nexus One,2010.0,81836.3,130.0,3.7,384000.0,2.0,1.0,1.0,0.512,5.0,1400.0,
Motorola Moto G 4G (2015),2015.0,110044.55000000002,155.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2390.0,
Motorola Moto Maxx,2014.0,87303.965,176.0,5.2,3686400.0,2.0,4.0,2.7,3.0,21.0,3900.0,
Motorola DROID Turbo,2014.0,87303.965,169.0,5.2,3686400.0,2.0,4.0,2.7,3.0,21.0,3900.0,
Motorola Nexus 6,2014.0,133541.19,184.0,5.96,3686400.0,2.0,4.0,2.7,3.0,13.0,3220.0,
Motorola Moto X (2014),2014.0,101939.20000000001,144.0,5.2,2073600.0,2.0,4.0,2.5,2.0,13.0,2300.0,
Motorola Moto G Dual SIM (2014),2014.0,110044.55000000002,149.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2070.0,
Motorola Moto G (2014),2014.0,110044.55000000002,149.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2070.0,
Motorola Moto G 4G,2014.0,99300.75600000002,143.0,4.5,921600.0,2.0,4.0,1.2,1.0,5.0,2070.0,
Motorola Luge,2014.0,62409.312000000005,125.9,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,2000.0,
Motorola Moto E,2014.0,99470.59199999999,142.0,4.3,518400.0,2.0,2.0,1.2,1.0,5.0,1980.0,
Motorola Moto E Dual SIM,2014.0,99470.59199999999,142.0,4.3,518400.0,2.0,2.0,1.2,1.0,5.0,1980.0,
Motorola Moto G Dual SIM,2014.0,99300.75600000002,143.0,4.5,921600.0,2.0,4.0,1.2,1.0,5.0,2070.0,
Motorola Moto G,2013.0,99300.75600000002,143.0,4.5,921600.0,2.0,4.0,1.2,1.0,5.0,2070.0,
Motorola Moto X,2013.0,87810.21600000001,130.0,4.7,921600.0,2.0,2.0,1.7,2.0,10.0,2200.0,
Motorola DROID Ultra,2013.0,70488.0,137.0,5.0,921600.0,2.0,2.0,1.7,2.0,10.0,2130.0,
Motorola DROID Maxx,2013.0,83215.0,167.0,5.0,921600.0,2.0,2.0,1.7,2.0,10.0,3500.0,
Motorola DROID Mini,2013.0,66177.641,130.0,4.3,921600.0,2.0,2.0,1.7,2.0,10.0,2000.0,
Motorola RAZR D3 XT919,2013.0,69914.572,120.0,4.0,384000.0,2.0,2.0,1.2,1.0,8.0,2000.0,
Motorola RAZR D1,2013.0,71390.0,110.0,3.5,153600.0,2.0,1.0,1.0,1.0,5.0,1785.0,
Motorola RAZR i XT890,2012.0,61920.075000000004,126.0,4.3,518400.0,2.0,1.0,2.0,1.0,8.0,2000.0,
Motorola DROID RAZR MAXX HD,2012.0,83290.89300000003,157.0,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,3300.0,
Motorola DROID RAZR HD,2012.0,75230.48400000003,146.0,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,2530.0,
Motorola RAZR HD XT925,2012.0,75230.48400000003,146.0,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,2500.0,
Motorola DROID RAZR M,2012.0,61920.075000000004,126.0,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,2000.0,
Motorola RAZR M XT905,2012.0,61920.075000000004,126.0,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,2000.0,
Motorola DEFY XT XT556,2012.0,80730.0,130.0,3.7,409920.0,2.0,1.0,1.0,1.0,5.0,1650.0,
Motorola Electrify 2 XT881,2012.0,71024.52,130.0,4.3,518400.0,2.0,2.0,1.2,1.0,8.0,1780.0,
Motorola Photon Q 4G LTE XT897,2012.0,114381.29999999999,170.1,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,1785.0,
Motorola ATRIX HD MB886,2012.0,78385.86000000002,140.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1780.0,
Motorola XT760,2012.0,76538.88,125.0,4.0,518400.0,2.0,2.0,1.0,2.0,8.0,1650.0,
Motorola ATRIX TV XT682,2012.0,71754.20999999999,129.7,4.0,409920.0,2.0,1.0,1.0,0.512,8.0,1700.0,
Motorola Motosmart Me XT303,2012.0,77754.6,107.0,3.2,153600.0,2.0,1.0,0.8,0.512,2.0,1500.0,
Motorola RAZR V XT885,2012.0,71024.52,125.0,4.3,518400.0,2.0,2.0,1.2,1.0,8.0,1750.0,
Motorola RAZR V XT889,2012.0,71024.52,125.0,4.3,518400.0,2.0,2.0,1.2,1.0,8.0,1780.0,
Motorola Motosmart Flip XT611,2012.0,89446.5,110.0,3.2,153600.0,2.0,1.0,0.8,0.512,5.0,1540.0,
Motorola RAZR MAXX,2012.0,81047.06999999999,145.0,4.3,518400.0,2.0,2.0,1.2,1.0,8.0,3300.0,
Motorola DEFY XT535,2012.0,80730.0,115.0,3.7,409920.0,2.0,1.0,1.0,1.0,5.0,1650.0,
Motorola DROID 4 XT894,2012.0,108548.17,178.9,4.0,518400.0,2.0,2.0,1.2,1.0,8.0,1785.0,
Motorola DROID RAZR MAXX,2012.0,81047.06999999999,145.0,4.3,518400.0,2.0,2.0,1.2,1.0,8.0,3300.0,
Motorola Motoluxe MT680,2012.0,76805.04,136.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1390.0,
Motorola Motoluxe,2012.0,70496.41500000001,123.6,4.0,409920.0,2.0,1.0,0.8,0.512,8.0,1400.0,
Motorola Defy Mini XT320,2012.0,80343.9,107.0,3.2,153600.0,2.0,1.0,0.6,0.512,3.0,1650.0,
Motorola XT319,2011.0,87850.40000000001,109.0,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1390.0,
Motorola DROID XYBOARD 10.1 MZ617,2011.0,397044.03199999995,599.0,10.1,1024000.0,2.0,2.0,1.2,1.0,5.0,7000.0,
Motorola XT532,2011.0,84816.0,115.0,3.5,153600.0,2.0,1.0,0.8,0.512,5.0,1500.0,
Motorola MOTO XT615,2011.0,70496.41500000001,123.6,4.0,409920.0,2.0,1.0,0.8,0.512,8.0,1390.0,
Motorola XOOM 2 Media Edition 3G MZ608,2011.0,270216.0,386.0,8.2,1024000.0,2.0,2.0,1.2,1.0,5.0,3960.0,
Motorola XOOM 2 Media Edition MZ607,2011.0,270216.0,386.0,8.2,1024000.0,2.0,2.0,1.2,1.0,5.0,3960.0,
